DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION [31578],0487990401 [111225],NDC,BOTH,3,ML,10.5,8.82
ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION [31578],0487990425 [153974],NDC,BOTH,3,ML,10.5,8.82
ALBUTEROL SULFATE 2 MG TABLET [253],5107965701 [56105],NDC,BOTH,1,EA ,45.94,38.59
ALBUTEROL SULFATE 2 MG TABLET [253],5107965720 [56106],NDC,BOTH,1,EA ,45.94,38.59
ALBUTEROL SULFATE 2 MG TABLET [253],5348917601 [63301],NDC,BOTH,1,EA ,38.33,32.19
ALBUTEROL SULFATE 2 MG/5 ML ORAL SYRUP [252],0472082516 [284660],NDC,BOTH,473,ML,710.33,596.67
ALBUTEROL SULFATE 2 MG/5 ML ORAL SYRUP [252],7700447905 [289116],NDC,BOTH,5,ML,12.86,10.8
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250],0487950101 [20260],NDC,BOTH,3,ML,1.84,1.54
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250],7620420001 [238169],NDC,BOTH,3,ML,9.19,7.72
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION [250],7620420030 [224577],NDC,BOTH,3,ML,8.66,7.28
ALBUTEROL SULFATE CONCENTRATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION [129406],0487990130 [20267],NDC,BOTH,1,EA ,3.15,2.65
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837],0173068220 [133505],NDC,BOTH,18,GM,270.11,226.89
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837],0173068224 [167609],NDC,BOTH,8,GM,142.54,119.73
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837],6818096301 [331636],NDC,BOTH,8.5,GM,292.16,245.42
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER [17837],6909714260 [327730],NDC,BOTH,6.7,GM,292.16,245.42
ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOLUTION [165407],5846802001 [274142],NDC,BOTH,1.2,ML,44255.4,37174.54
ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOLUTION [165407],5846802001 [274142],NDC,BOTH,3,ME,11849.78,9953.81
ALENDRONATE 35 MG TABLET [29072],1671463201 [187151],NDC,BOTH,1,EA ,134.14,112.68
ALENDRONATE 35 MG TABLET [29072],1671463202 [187152],NDC,BOTH,1,EA ,133.09,111.79
ALENDRONATE 70 MG TABLET [29048],1671463301 [187153],NDC,BOTH,1,EA ,132.83,111.57
ALENDRONATE 70 MG TABLET [29048],6498034214 [307378],NDC,BOTH,1,EA ,133.09,111.79
ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION [76353],5846801601 [195043],NDC,BOTH,1,EA ,2894.85,2431.67
ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION [76353],5846801602 [251399],NDC,BOTH,1,EA ,2896.69,2433.22
ALLOPURINOL 100 MG TABLET [310],0591554301 [22160],NDC,BOTH,1,EA ,3.15,2.65
ALLOPURINOL 100 MG TABLET [310],0904657161 [295614],NDC,BOTH,1,EA ,2.63,2.21
ALLOPURINOL 100 MG TABLET [310],0904704161 [333905],NDC,BOTH,1,EA ,2.63,2.21
ALLOPURINOL 100 MG TABLET [310],1671404112 [247465],NDC,BOTH,1,EA ,3.15,2.65
ALLOPURINOL 100 MG TABLET [310],2930034901 [317850],NDC,BOTH,1,EA ,3.15,2.65
ALLOPURINOL 100 MG TABLET [310],4306393501 [313631],NDC,BOTH,1,EA ,2.89,2.43
ALLOPURINOL 100 MG TABLET [310],5107920501 [55811],NDC,BOTH,1,EA ,2.63,2.21
ALLOPURINOL 100 MG TABLET [310],5107920520 [55814],NDC,BOTH,1,EA ,2.63,2.21
ALLOPURINOL 100 MG TABLET [310],5348915601 [63294],NDC,BOTH,1,EA ,3.15,2.65
ALLOPURINOL 100 MG TABLET [310],5511172901 [189769],NDC,BOTH,1,EA ,3.15,2.65
ALLOPURINOL 100 MG TABLET [310],6258498801 [102959],NDC,BOTH,1,EA ,3.41,2.87
ALLOPURINOL 100 MG TABLET [310],6258498811 [142996],NDC,BOTH,1,EA ,3.41,2.87
ALLOPURINOL 100 MG TABLET [310],6373941010 [293134],NDC,BOTH,1,EA ,2.89,2.43
ALLOPURINOL 300 MG TABLET [311],0591554401 [22162],NDC,BOTH,1,EA ,6.04,5.07
ALLOPURINOL 300 MG TABLET [311],4306393401 [313630],NDC,BOTH,1,EA ,2.89,2.43
ALLOPURINOL 300 MG TABLET [311],5107920601 [55815],NDC,BOTH,1,EA ,4.99,4.19
ALLOPURINOL 300 MG TABLET [311],5107920620 [55818],NDC,BOTH,1,EA ,4.99,4.19
ALLOPURINOL 300 MG TABLET [311],6258471301 [102953],NDC,BOTH,1,EA ,6.3,5.29
ALLOPURINOL 300 MG TABLET [311],6373979610 [293146],NDC,BOTH,1,EA ,4.2,3.53
ALLOPURINOL 500 MG INTRAVENOUS SOLUTION [25408],0143953301 [295113],NDC,BOTH,1,EA ,11109.79,9332.22
ALLOPURINOL 500 MG INTRAVENOUS SOLUTION [25408],6745718750 [184537],NDC,BOTH,1,EA ,11357.59,9540.37
ALLOPURINOL 500 MG INTRAVENOUS SOLUTION [25408],6745718750 [184537],NDC,BOTH,100,ME,11357.59,9540.37
ALPHA1PROTEINASE INHIBITOR (ARALAST NP) 1000 MG IV SOLUTION [191005],0944280404 [284988],NDC,BOTH,1,EA ,1618.05,1359.16
ALPHA1PROTEINASE INHIBITOR (ARALAST NP) 1000 MG IV SOLUTION [191005],0944280404 [284988],NDC,BOTH,60,ME,6261.68,5259.81
ALPHA1PROTEINASE INHIBITOR (ARALAST NP) 1000 MG IV SOLUTION [191005],0944281501 [254098],NDC,BOTH,1,EA ,1618.05,1359.16
ALPHA1PROTEINASE INHIBITOR (ZEMAIRA) 1000MG INTRAVENOUS SOLUTION [178025],0053720102 [4100],NDC,BOTH,1,EA ,1538.78,1292.57
ALPHA1PROTEINASE INHIBITOR (ZEMAIRA) 1000MG INTRAVENOUS SOLUTION [178025],0053720102 [4100],NDC,BOTH,60,ME,5416.43,4549.8
ALPRAZOLAM 0.25 MG TABLET [324],0228202710 [13099],NDC,BOTH,1,EA ,4.73,3.97
ALPRAZOLAM 0.25 MG TABLET [324],0781106101 [24863],NDC,BOTH,1,EA ,4.73,3.97
ALPRAZOLAM 0.25 MG TABLET [324],0781106105 [24864],NDC,BOTH,1,EA ,4.46,3.75
ALPRAZOLAM 0.25 MG TABLET [324],5107978820 [56181],NDC,BOTH,1,EA ,4.2,3.53
ALPRAZOLAM 0.25 MG TABLET [324],5976237191 [83022],NDC,BOTH,1,EA ,4.2,3.53
ALPRAZOLAM 0.25 MG TABLET [324],6586267601 [326684],NDC,BOTH,1,EA ,4.73,3.97
ALPRAZOLAM 0.5 MG TABLET [325],0228202910 [13103],NDC,BOTH,1,EA ,6.3,5.29
ALPRAZOLAM 0.5 MG TABLET [325],0781107701 [24870],NDC,BOTH,1,EA ,5.78,4.85
ALPRAZOLAM 0.5 MG TABLET [325],5107978920 [56184],NDC,BOTH,1,EA ,4.99,4.19
ALPRAZOLAM 0.5 MG TABLET [325],5976237201 [83025],NDC,BOTH,1,EA ,4.99,4.19
ALPRAZOLAM 1 MG TABLET [326],0781107901 [24875],NDC,BOTH,1,EA ,7.61,6.39
ALPRAZOLAM 1 MG TABLET [326],0904586061 [178725],NDC,BOTH,1,EA ,6.04,5.07
ALPRAZOLAM 1 MG TABLET [326],5107979020 [56187],NDC,BOTH,1,EA ,6.83,5.73
ALPRAZOLAM 1 MG TABLET [326],5976237211 [83028],NDC,BOTH,1,EA ,6.56,5.51
ALPRAZOLAM 2 MG TABLET [327],0009009401 [1846],NDC,BOTH,1,EA ,106.84,89.74
ALPROSTADIL 10 MCG INTRACAVERNOSAL KIT [21227],0009518101 [2091],NDC,BOTH,1,EA ,366.98,308.26
ALPROSTADIL 20 MCG INTRACAVERNOSAL KIT [21228],0009518201 [2092],NDC,BOTH,1,EA ,476.44,400.21
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001],0009316906 [1971],NDC,BOTH,1,ML,617.66,518.84
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001],0009316906 [1971],NDC,BOTH,2,ML,617.66,518.84
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001],0009316906 [1971],NDC,BOTH,20,ML,617.66,518.84
ALPROSTADIL 500 MCG/ML INJECTION SOLUTION [9001],0009316906 [1971],NDC,BOTH,5,ML,617.66,518.84
ALTEPLASE 10 MG/10 ML INTRAVENOUS SYRINGE [177073],7700450010 [297989],NDC,BOTH,10,ME,3090.94,2596.39
ALTEPLASE 100 MG *LOADING DOSE* [173443],5024208527 [53880],NDC,BOTH,1,EA ,17379.08,14598.42
ALTEPLASE 100 MG INTRAVENOUS SOLUTION [9002],5024208525 [263460],NDC,BOTH,1,EA ,17379.08,14598.42
ALTEPLASE 100 MG INTRAVENOUS SOLUTION [9002],5024208527 [53880],NDC,BOTH,1,EA ,17379.08,14598.42
ALTEPLASE 2 MG INTRACATHETER SOLUTION [31310],5024204164 [53873],NDC,BOTH,1,EA ,761.25,639.45
ALTEPLASE 50 MG INTRAVENOUS SOLUTION [9003],5024204406 [263459],NDC,BOTH,1,EA ,8689.54,7299.21
ALTEPLASE 50 MG INTRAVENOUS SOLUTION [9003],5024204413 [53876],NDC,BOTH,1,EA ,8689.54,7299.21
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION [353],0536009185 [20799],NDC,BOTH,473,ML,46.99,39.47
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION [353],1785600913 [271188],NDC,BOTH,30,ML,12.08,10.14
ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION [353],7700233530 [287695],NDC,BOTH,30,ML,2.36,1.98
ALUMINUM HYDROXMAGNESIUM CARB 160 MG105 MG CHEWABLE TABLET [9016],0088117447 [8890],NDC,BOTH,1,EA ,1.58,1.32
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],0121176130 [100630],NDC,BOTH,30,ML,24.68,20.73
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],0536129383 [333875],NDC,BOTH,355,ML,28.09,23.59
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],0536131783 [336500],NDC,BOTH,355,ML,25.46,21.39
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],4934801939 [49086],NDC,BOTH,355,ML,28.09,23.59
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],5789662912 [165940],NDC,BOTH,355,ML,25.73,21.61
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],6373915910 [348990],NDC,BOTH,30,ML,14.96,12.57
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],6373915977 [348991],NDC,BOTH,30,ML,14.96,12.57
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],6668906001 [331573],NDC,BOTH,30,ML,25.73,21.61
ALUMINUMMAG HYDROXIDESIMETHICONE 200 MG200 MG20 MG/5 ML ORAL SUSP [38285],6668906099 [331574],NDC,BOTH,30,ML,25.73,21.61
ALUMINUMMAGNESIUM HYDROXIDE 200 MG200 MG/5 ML ORAL SUSPENSION [37605],0121176030 [100629],NDC,BOTH,30,ML,75.86,63.72
ALVIMOPAN 12 MG CAPSULE [91870],0591231215 [333886],NDC,BOTH,1,EA ,779.36,654.66
ALVIMOPAN 12 MG CAPSULE [91870],0591231245 [333887],NDC,BOTH,1,EA ,779.36,654.66
ALVIMOPAN 12 MG CAPSULE [91870],6791902010 [237768],NDC,BOTH,1,EA ,749.96,629.97
AMANTADINE HCL 100 MG CAPSULE [364],0781204801 [25139],NDC,BOTH,1,EA ,13.13,11.03
AMANTADINE HCL 100 MG CAPSULE [364],0904704261 [333907],NDC,BOTH,1,EA ,14.18,11.91
AMANTADINE HCL 100 MG CAPSULE [364],4254349301 [295883],NDC,BOTH,1,EA ,12.6,10.58
AMANTADINE HCL 100 MG CAPSULE [364],5026806911 [272940],NDC,BOTH,1,EA ,22.84,19.18
AMANTADINE HCL 100 MG CAPSULE [364],5026806915 [272941],NDC,BOTH,1,EA ,22.84,19.18
AMANTADINE HCL 100 MG CAPSULE [364],6233224631 [296109],NDC,BOTH,1,EA ,12.6,10.58
AMANTADINE HCL 100 MG CAPSULE [364],6945214220 [288776],NDC,BOTH,1,EA ,12.6,10.58
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365],0121064616 [10163],NDC,BOTH,473,ML,291.9,245.2
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365],5038380716 [53999],NDC,BOTH,473,ML,288.75,242.55
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365],6043209316 [85738],NDC,BOTH,473,ML,282.45,237.26
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION [365],7700447710 [287685],NDC,BOTH,10,ML,9.71,8.16
AMIFOSTINE CRYSTALLINE 500 MG INTRAVENOUS SOLUTION [20803],4733558142 [207709],NDC,BOTH,1,EA ,1553.21,1304.7
AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131],0641616701 [284811],NDC,BOTH,2,ML,69.83,58.65
AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131],0703903203 [24457],NDC,BOTH,15,ME,191.1,160.52
AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131],0703903203 [24457],NDC,BOTH,2,ML,102.9,86.44
AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131],0703903203 [24457],NDC,BOTH,5,ME,76.65,64.39
AMIKACIN 500 MG/2 ML INJECTION SOLUTION [108131],2315529041 [247545],NDC,BOTH,2,ML,102.9,86.44
AMINO ACID 10 % INTRAVENOUS SOLUTION [127063],0264193310 [341334],NDC,BOTH,500,ML,383.25,321.93
AMINO ACID 10 % INTRAVENOUS SOLUTION [127063],0264934155 [16108],NDC,BOTH,500,ML,359.63,302.09
AMINO ACID 4.25 % IN 10 % DEXTROSE INTRAVENOUS SOLUTION [27928],0338113403 [17265],NDC,BOTH,1000,ML,383.25,321.93
AMINO ACID 5 % IN 20 % DEXTROSE INTRAVENOUS SOLUTION [27933],0338110104 [17250],NDC,BOTH,2000,ML,524.21,440.34
AMINO ACID 5 % IN 20 % DEXTROSE INTRAVENOUS SOLUTION [27933],0338113803 [17269],NDC,BOTH,1000,ML,350.44,294.37
AMINO ACIDS 2.75 % WITH LYTES AND CALCIUM IN D5W INTRAVENOUS SOLUTION [27946],0338114203 [17271],NDC,BOTH,1000,ML,346.5,291.06
AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D10W IN IV SOLUTION [185446],0338114503 [17274],NDC,BOTH,1000,ML,362.51,304.51
AMINO ACIDS 4.25 % WITH LYTES AND CALCIUM IN D10W INTRAVENOUS SOLUTION [27951],0338114503 [17274],NDC,BOTH,1000,ML,362.51,304.51
AMINO ACIDS 5 % WITH LYTES AND CALCIUM IN D20W INTRAVENOUS SOLUTION [27964],0338114803 [17277],NDC,BOTH,1000,ML,350.44,294.37
AMINO ACIDS 8 %DEXTROSE 14 %ELECTROLYTES INTRAVENOUS SOLUTION [186872],0338020601 [333838],NDC,BOTH,2000,ML,713.74,599.54
AMINO ACIDS 8 %DEXTROSE 14 %ELECTROLYTES INTRAVENOUS SOLUTION [186872],0338020604 [333839],NDC,BOTH,2000,ML,713.74,599.54
AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLUTION [9062],1747844708 [323306],NDC,BOTH,236.5,ML,7181.21,6032.22
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0409434616 [302523],NDC,BOTH,20,ML,56.96,47.85
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0409434673 [115950],NDC,BOTH,15,GM,170.36,143.1
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0409434673 [115950],NDC,BOTH,20,ML,56.96,47.85
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0409434673 [115950],NDC,BOTH,5,GM,56.96,47.85
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0517912001 [317655],NDC,BOTH,20,ML,70.35,59.09
AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [403],0517912025 [20600],NDC,BOTH,20,ML,70.35,59.09
AMINOCAPROIC ACID 500 MG TABLET [9063],4941105030 [279603],NDC,BOTH,1,EA ,158.81,133.4
AMINOCAPROIC ACID 500 MG TABLET [9063],6021916373 [324211],NDC,BOTH,1,EA ,145.69,122.38
AMINOCAPROIC ACID 500 MG TABLET [9063],6255922530 [334195],NDC,BOTH,1,EA ,145.69,122.38
AMINOCAPROIC ACID 500 MG TABLET [9063],6968011530 [312277],NDC,BOTH,1,EA ,46.73,39.25
AMINOCAPROIC ACID 500 MG TABLET [9063],7220504930 [333658],NDC,BOTH,1,EA ,145.69,122.38
AMINOPHYLLINE 250 MG/10 ML INTRAVENOUS SOLUTION [407],0409592101 [120832],NDC,BOTH,10,ML,97.65,82.03
AMINOPHYLLINE 250 MG/10 ML INTRAVENOUS SOLUTION [407],0409592116 [320316],NDC,BOTH,1.5,ME,97.65,82.03
AMINOPHYLLINE 250 MG/10 ML INTRAVENOUS SOLUTION [407],0409592116 [320316],NDC,BOTH,10,ML,97.65,82.03
AMIODARONE 100 MG TABLET [36959],1671484301 [308391],NDC,BOTH,1,EA ,48.3,40.57
AMIODARONE 100 MG TABLET [36959],5186224030 [301247],NDC,BOTH,1,EA ,48.3,40.57
AMIODARONE 200 MG TABLET [9066],0245014701 [13401],NDC,BOTH,1,EA ,51.71,43.44
AMIODARONE 200 MG TABLET [9066],0245014715 [13402],NDC,BOTH,1,EA ,45.94,38.59
AMIODARONE 200 MG TABLET [9066],0245014760 [13403],NDC,BOTH,1,EA ,48.3,40.57
AMIODARONE 200 MG TABLET [9066],0245014789 [167688],NDC,BOTH,1,EA ,51.71,43.44
AMIODARONE 200 MG TABLET [9066],0904699361 [328098],NDC,BOTH,1,EA ,2.36,1.98
AMIODARONE 200 MG TABLET [9066],5186224190 [303524],NDC,BOTH,1,EA ,21,17.64
AMIODARONE 200 MG TABLET [9066],6068743701 [322047],NDC,BOTH,1,EA ,3.94,3.31
AMIODARONE 200 MG TABLET [9066],6068743711 [322048],NDC,BOTH,1,EA ,3.94,3.31
AMIODARONE 200 MG TABLET [9066],6373905110 [326027],NDC,BOTH,1,EA ,2.89,2.43
AMIODARONE 200 MG TABLET [9066],6808437101 [190907],NDC,BOTH,1,EA ,3.94,3.31
AMIODARONE 200 MG TABLET [9066],6838222705 [184958],NDC,BOTH,1,EA ,21,17.64
AMIODARONE 200 MG TABLET [9066],6838222714 [184959],NDC,BOTH,1,EA ,21.79,18.3
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],0143987501 [283989],NDC,BOTH,3,ML,15.75,13.23
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],0143987525 [295132],NDC,BOTH,3,ML,15.75,13.23
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],5515018003 [303593],NDC,BOTH,3,ML,19.69,16.54
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],5515018109 [303594],NDC,BOTH,9,ML,44.1,37.04
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361601 [342149],NDC,BOTH,1.8,ME,72.19,60.64
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361601 [342149],NDC,BOTH,150,ME,12.08,10.14
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361601 [342149],NDC,BOTH,3,ML,12.08,10.14
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361602 [342150],NDC,BOTH,9,ML,34.39,28.89
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361603 [89892],NDC,BOTH,3,ML,12.08,10.14
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6332361609 [100090],NDC,BOTH,9,ML,34.39,28.89
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [93084],6745715318 [150639],NDC,BOTH,18,ML,110.51,92.83
AMIODARONE 900 MG/500 ML (1.8 MG/ML) IN 0.9 % NORMAL SALINE [1132804],7700457150 [300667],NDC,BOTH,500,ML,284.81,239.24
AMIODARONE 900 MG/500 ML (1.8 MG/ML) IN DEXTROSE 5 % INTRAVENOUS SOLN [132802],70092100538 [283271],NDC,BOTH,500,ML,227.06,190.73
AMIODARONE 900 MG/500 ML (1.8 MG/ML) IN DEXTROSE 5 % INTRAVENOUS SOLN [132802],7700457151 [300668],NDC,BOTH,500,ML,284.81,239.24
AMISULPRIDE 10 MG/4 ML (2.5 MG/ML) INTRAVENOUS SOLUTION [188348],7139012550 [337604],NDC,BOTH,4,ML,402.68,338.25
AMISULPRIDE 10 MG/4 ML (2.5 MG/ML) INTRAVENOUS SOLUTION [188348],7139012551 [337605],NDC,BOTH,4,ML,402.68,338.25
AMISULPRIDE 5 MG/2 ML (2.5 MG/ML) INTRAVENOUS SOLUTION [186170],7139012520 [330698],NDC,BOTH,2,ML,201.34,169.12
AMISULPRIDE 5 MG/2 ML (2.5 MG/ML) INTRAVENOUS SOLUTION [186170],7139012521 [330699],NDC,BOTH,2,ML,201.34,169.12
AMITRIPTYLINE 10 MG TABLET [432],0603221221 [22608],NDC,BOTH,1,EA ,2.1,1.76
AMITRIPTYLINE 10 MG TABLET [432],1672917101 [271135],NDC,BOTH,1,EA ,2.1,1.76
AMITRIPTYLINE 10 MG TABLET [432],5107913101 [55781],NDC,BOTH,1,EA ,2.1,1.76
AMITRIPTYLINE 10 MG TABLET [432],5107913120 [55783],NDC,BOTH,1,EA ,2.1,1.76
AMITRIPTYLINE 100 MG TABLET [433],0603221621 [22615],NDC,BOTH,1,EA ,16.54,13.89
AMITRIPTYLINE 150 MG TABLET [434],0378269501 [17986],NDC,BOTH,1,EA ,24.94,20.95
AMITRIPTYLINE 25 MG TABLET [435],0904020161 [111305],NDC,BOTH,1,EA ,4.2,3.53
AMITRIPTYLINE 25 MG TABLET [435],1671444701 [271099],NDC,BOTH,1,EA ,3.94,3.31
AMITRIPTYLINE 25 MG TABLET [435],1672917201 [271137],NDC,BOTH,1,EA ,4.2,3.53
AMITRIPTYLINE 25 MG TABLET [435],5107910701 [55760],NDC,BOTH,1,EA ,4.2,3.53
AMITRIPTYLINE 25 MG TABLET [435],5107910720 [55763],NDC,BOTH,1,EA ,4.2,3.53
AMITRIPTYLINE 25 MG TABLET [435],6068743301 [320645],NDC,BOTH,1,EA ,3.41,2.87
AMITRIPTYLINE 25 MG TABLET [435],6068743311 [320646],NDC,BOTH,1,EA ,3.41,2.87
AMITRIPTYLINE 25 MG TABLET [435],7075620211 [337493],NDC,BOTH,1,EA ,4.2,3.53
AMITRIPTYLINE 50 MG TABLET [436],0603221421 [22612],NDC,BOTH,1,EA ,8.4,7.06
AMITRIPTYLINE 50 MG TABLET [436],0781148801 [24989],NDC,BOTH,1,EA ,4.73,3.97
AMITRIPTYLINE 50 MG TABLET [436],0904020261 [111306],NDC,BOTH,1,EA ,7.61,6.39
AMITRIPTYLINE 50 MG TABLET [436],1671444801 [271101],NDC,BOTH,1,EA ,7.35,6.17
AMITRIPTYLINE 50 MG TABLET [436],1672917301 [271139],NDC,BOTH,1,EA ,8.4,7.06
AMITRIPTYLINE 50 MG TABLET [436],5107913301 [55784],NDC,BOTH,1,EA ,7.09,5.95
AMITRIPTYLINE 50 MG TABLET [436],5107913320 [55785],NDC,BOTH,1,EA ,7.09,5.95
AMITRIPTYLINE 50 MG TABLET [436],7075620311 [337495],NDC,BOTH,1,EA ,8.4,7.06
AMIVANTAMABVMJW 50 MG/ML INTRAVENOUS SOLUTION [188986],5789450100 [338438],NDC,BOTH,7,ML,9920.93,8333.58
AMIVANTAMABVMJW 50 MG/ML INTRAVENOUS SOLUTION [188986],5789450101 [338439],NDC,BOTH,7,ML,9920.93,8333.58
AMLODIPINE 2.5 MG TABLET [9070],0069152068 [5307],NDC,BOTH,1,EA ,58.8,49.39
AMLODIPINE 2.5 MG TABLET [9070],0378520877 [136562],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 2.5 MG TABLET [9070],0904636961 [247080],NDC,BOTH,1,EA ,10.5,8.82
AMLODIPINE 2.5 MG TABLET [9070],5976215201 [142709],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 2.5 MG TABLET [9070],6787719790 [206664],NDC,BOTH,1,EA ,11.55,9.7
AMLODIPINE 2.5 MG TABLET [9070],6838212116 [161818],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],0069153041 [5308],NDC,BOTH,1,EA ,58.8,49.39
AMLODIPINE 5 MG TABLET [9071],0069153068 [5309],NDC,BOTH,1,EA ,58.8,49.39
AMLODIPINE 5 MG TABLET [9071],0904637061 [247081],NDC,BOTH,1,EA ,10.76,9.04
AMLODIPINE 5 MG TABLET [9071],2930024210 [254500],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],4280605609 [211213],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],5107945101 [141033],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],5107945120 [141034],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],6787719805 [206665],NDC,BOTH,1,EA ,11.81,9.92
AMLODIPINE 5 MG TABLET [9071],6787719890 [206667],NDC,BOTH,1,EA ,11.81,9.92
AMLODIPINE 5 MG TABLET [9071],6838212205 [161820],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],6838212216 [161821],NDC,BOTH,1,EA ,11.29,9.48
AMLODIPINE 5 MG TABLET [9071],7628223810 [224605],NDC,BOTH,1,EA ,1.58,1.32
AMLODIPINE 5 MG TABLET [9071],7628223890 [224606],NDC,BOTH,1,EA ,1.58,1.32
AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [439],3982299001 [46183],NDC,BOTH,1,EA ,3.68,3.09
AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [439],3982299002 [46184],NDC,BOTH,1,EA ,3.68,3.09
AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [439],73874309001 [360841],NDC,BOTH,1,EA ,3.15,2.65
AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [439],7700402401 [362610],NDC,BOTH,1,EA ,10.76,9.04
AMMONIUM LACTATE 12 % LOTION [10380],0904598426 [178779],NDC,BOTH,226,GM,199.76,167.8
